File:	06_07_21_blt.pgc

Блок 1
Title:	
ADC:	E-140
Started:	01.01.2001 3:28:50
Channels:	3
Rate:	200
Step:	0.005
Duration:	505.835
Size:	101168
Время, s	Nx	Ny	Nz
1.78	-0.5025	0.0837	-0.0087
1.785	-0.5051	0.0812	-0.01
1.79	-0.5038	0.0837	-0.0075
1.795	-0.5038	0.0824	-0.01
1.8	-0.5038	0.0837	-0.0087
1.805	-0.5038	0.0824	-0.0075
1.81	-0.5038	0.0812	-0.0087
1.815	-0.5051	0.0824	-0.01
1.82	-0.5051	0.0837	-0.0075
1.825	-0.5038	0.0824	-0.0075
1.83	-0.5038	0.0812	-0.0075
1.835	-0.5051	0.0812	-0.0087
1.84	-0.5038	0.0824	-0.0087
1.845	-0.5025	0.0837	-0.0087
1.85	-0.5038	0.0812	-0.0087
1.855	-0.5051	0.0837	-0.0087
1.86	-0.5038	0.0824	-0.0062
1.865	-0.5051	0.0837	-0.01
1.87	-0.5051	0.0824	-0.0087
1.875	-0.5051	0.0812	-0.0062
1.88	-0.5051	0.0824	-0.0087
1.885	-0.5063	0.0824	-0.0087
1.89	-0.5038	0.0824	-0.0075
1.895	-0.5051	0.0824	-0.0087
1.9	-0.5051	0.0837	-0.0075
1.905	-0.5051	0.0824	-0.0087
1.91	-0.5038	0.0824	-0.0075
1.915	-0.5038	0.0824	-0.0087
1.92	-0.5038	0.0824	-0.0087
1.925	-0.5038	0.0824	-0.0087
1.93	-0.5038	0.0824	-0.0087
1.935	-0.5038	0.0824	-0.0087
1.94	-0.5051	0.0824	-0.0075
1.945	-0.5038	0.0812	-0.0075
1.95	-0.5038	0.0812	-0.01
1.955	-0.5051	0.0812	-0.01
1.96	-0.5038	0.0824	-0.0075
1.965	-0.5038	0.0837	-0.0075
1.97	-0.5051	0.0812	-0.01
1.975	-0.5051	0.0812	-0.01
1.98	-0.5038	0.0812	-0.0087
1.985	-0.5063	0.0824	-0.0087
1.99	-0.5051	0.0824	-0.0075
1.995	-0.5038	0.0812	-0.0087
2	-0.5038	0.0837	-0.0075
2.005	-0.5038	0.0824	-0.0087
2.01	-0.5038	0.0812	-0.0075
2.015	-0.5051	0.0824	-0.01
2.02	-0.5051	0.0812	-0.0087
2.025	-0.5051	0.0837	-0.0075
2.03	-0.5038	0.0824	-0.0075
2.035	-0.5038	0.0812	-0.0087
2.04	-0.5051	0.0837	-0.0075
2.045	-0.5038	0.0837	-0.0075
2.05	-0.5038	0.0824	-0.0087
2.055	-0.5038	0.0824	-0.0087
2.06	-0.5051	0.0824	-0.0087
2.065	-0.5038	0.0824	-0.0087
2.07	-0.5038	0.0812	-0.0087
